               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.033184,            0.012813,           0.0072042,             0.88295,             0.89464,             0.95029,             0.69943,             0.01684,           0.0050898,           0.0046224,            0.008317,            0.008317,            0.008317
                  36,            0.033106,            0.012579,           0.0068784,             0.91083,             0.93378,              0.9619,             0.70013,            0.016344,            0.005046,           0.0027636,           0.0082675,           0.0082675,           0.0082675
                  37,            0.032092,            0.012956,           0.0054891,              0.8976,              0.9038,             0.95983,             0.71305,            0.015948,           0.0053508,           0.0032833,            0.008218,            0.008218,            0.008218
                  38,            0.032352,            0.012179,           0.0056641,             0.91769,             0.90655,             0.95208,             0.69438,            0.015944,           0.0053024,            0.002734,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031251,            0.012327,           0.0055816,             0.91486,             0.90497,             0.95488,             0.70819,            0.016515,           0.0050986,           0.0029595,            0.008119,            0.008119,            0.008119
                  40,            0.031322,            0.012422,           0.0054158,             0.89587,             0.92489,             0.96035,             0.71167,            0.017167,           0.0050782,           0.0024101,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031678,            0.012452,           0.0059379,             0.93094,             0.88557,             0.95783,              0.6873,            0.016979,           0.0051181,           0.0029281,             0.00802,             0.00802,             0.00802
                  42,            0.030048,             0.01203,           0.0048969,             0.90011,             0.88362,             0.95767,             0.67672,            0.017684,           0.0053818,           0.0025764,           0.0079705,           0.0079705,           0.0079705
                  43,            0.032956,            0.012175,           0.0047528,             0.93198,             0.88676,             0.96479,             0.70183,            0.018438,            0.005301,            0.002515,            0.007921,            0.007921,            0.007921
                  44,            0.031302,            0.012604,           0.0086664,             0.91438,             0.91969,             0.96263,             0.72592,            0.015013,           0.0049287,           0.0033018,           0.0078715,           0.0078715,           0.0078715
                  45,            0.029351,            0.011927,           0.0060316,               0.926,             0.91631,             0.96738,             0.74095,            0.014076,            0.004823,           0.0032998,            0.007822,            0.007822,            0.007822
                  46,            0.029741,            0.012745,           0.0082554,             0.91067,             0.94462,             0.96493,             0.72062,            0.015213,           0.0050701,           0.0028156,           0.0077725,           0.0077725,           0.0077725
                  47,             0.02855,            0.011626,           0.0059469,             0.89774,             0.90744,             0.95295,             0.70842,            0.015734,           0.0050489,           0.0032672,            0.007723,            0.007723,            0.007723
                  48,            0.027559,             0.01188,           0.0051803,              0.9262,             0.92448,             0.96223,             0.72455,             0.01529,           0.0047143,           0.0029412,           0.0076735,           0.0076735,           0.0076735
                  49,            0.027968,            0.011571,            0.004496,             0.91334,              0.9183,             0.96277,             0.72668,            0.016047,           0.0049381,           0.0025773,            0.007624,            0.007624,            0.007624
                  50,            0.027185,            0.011766,           0.0050619,              0.9357,             0.93301,             0.97266,             0.73587,            0.014839,           0.0048205,           0.0020104,           0.0075745,           0.0075745,           0.0075745
                  51,             0.03032,            0.012077,           0.0059704,             0.92937,             0.91802,             0.96974,             0.73954,            0.014348,           0.0047857,             0.00296,            0.007525,            0.007525,            0.007525
                  52,            0.028679,            0.011789,           0.0050893,             0.94207,             0.92882,             0.96967,             0.76259,            0.014467,           0.0047187,             0.00286,           0.0074755,           0.0074755,           0.0074755
                  53,             0.02842,            0.011403,           0.0058117,             0.92553,              0.9016,             0.96298,             0.74258,            0.014224,           0.0051071,           0.0025952,            0.007426,            0.007426,            0.007426
                  54,            0.028533,             0.01212,            0.005059,             0.91214,             0.92302,             0.95908,             0.74336,            0.014597,           0.0048154,           0.0029214,           0.0073765,           0.0073765,           0.0073765
                  55,            0.027417,            0.011943,           0.0049991,             0.90514,             0.92847,             0.96269,             0.73261,            0.014504,           0.0047023,           0.0035484,            0.007327,            0.007327,            0.007327
                  56,            0.026173,            0.011766,           0.0045686,             0.90503,             0.93473,             0.95794,             0.74163,            0.013948,           0.0048263,           0.0034613,           0.0072775,           0.0072775,           0.0072775
                  57,            0.026508,            0.012101,           0.0035819,             0.90884,             0.90225,             0.95587,             0.70867,            0.015283,           0.0049541,           0.0032054,            0.007228,            0.007228,            0.007228
                  58,            0.028064,            0.011719,           0.0048486,             0.89803,             0.91264,             0.96232,             0.74592,            0.013752,            0.004726,           0.0029172,           0.0071785,           0.0071785,           0.0071785
                  59,            0.025213,            0.011413,           0.0039446,             0.90924,             0.91508,             0.96714,              0.7511,            0.013953,           0.0048387,           0.0027986,            0.007129,            0.007129,            0.007129
                  60,            0.029003,            0.011678,           0.0055706,             0.92129,             0.84976,             0.93068,             0.72114,            0.016035,           0.0048395,           0.0022067,           0.0070795,           0.0070795,           0.0070795
                  61,            0.026075,            0.011814,           0.0038752,             0.88585,              0.8971,             0.95226,             0.73784,            0.015081,           0.0049547,           0.0019543,             0.00703,             0.00703,             0.00703
                  62,             0.02913,            0.011384,           0.0044401,             0.91825,             0.93552,             0.96876,             0.75596,            0.014084,           0.0047321,           0.0017202,           0.0069805,           0.0069805,           0.0069805
                  63,             0.02737,            0.011029,            0.003219,             0.93473,             0.90818,             0.96895,             0.74364,            0.015024,           0.0048528,           0.0021389,            0.006931,            0.006931,            0.006931
                  64,            0.027799,            0.011405,           0.0033362,              0.9263,             0.92566,             0.96773,             0.74182,            0.013705,           0.0048994,           0.0025229,           0.0068815,           0.0068815,           0.0068815
                  65,            0.026819,            0.011305,           0.0041497,             0.95603,             0.91651,             0.97185,             0.75417,            0.013435,           0.0047802,           0.0024916,            0.006832,            0.006832,            0.006832
                  66,            0.025437,            0.011237,           0.0060889,              0.9307,             0.91831,             0.96729,             0.74362,            0.014059,           0.0048034,           0.0024273,           0.0067825,           0.0067825,           0.0067825
                  67,            0.027273,            0.011656,           0.0044432,             0.92272,             0.91446,             0.96084,             0.74698,            0.013947,           0.0047143,           0.0025864,            0.006733,            0.006733,            0.006733
                  68,            0.029363,            0.011887,           0.0042262,             0.91672,             0.92108,             0.96739,             0.74865,             0.01412,           0.0047452,           0.0021239,           0.0066835,           0.0066835,           0.0066835
                  69,            0.025393,            0.011391,           0.0038087,             0.92893,             0.93687,             0.96715,             0.75238,            0.014463,           0.0046473,           0.0018726,            0.006634,            0.006634,            0.006634
