               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034269,            0.014168,           0.0088063,             0.86681,             0.86426,             0.93697,             0.63452,            0.016858,           0.0058934,           0.0043441,           0.0082675,           0.0082675,           0.0082675
                  37,            0.033832,            0.013964,           0.0082996,             0.79592,             0.87478,             0.91815,             0.61578,            0.017002,           0.0062312,           0.0048005,            0.008218,            0.008218,            0.008218
                  38,            0.033111,            0.014051,            0.008548,             0.83513,             0.85429,             0.91331,             0.64364,            0.016702,            0.006086,           0.0048432,           0.0081685,           0.0081685,           0.0081685
                  39,             0.03322,            0.013763,           0.0085659,             0.86596,              0.8663,             0.92703,             0.62592,            0.017664,           0.0062644,           0.0036982,            0.008119,            0.008119,            0.008119
                  40,            0.032978,            0.014764,           0.0098852,             0.87953,             0.86834,             0.91983,             0.65151,            0.016407,           0.0059595,           0.0038962,           0.0080695,           0.0080695,           0.0080695
                  41,            0.029886,            0.014002,           0.0089894,             0.87494,             0.83986,              0.9119,             0.64405,            0.016739,           0.0059966,           0.0039488,             0.00802,             0.00802,             0.00802
                  42,            0.037127,            0.013469,           0.0079283,             0.82909,             0.82024,             0.88246,             0.61064,            0.017161,            0.006199,           0.0042703,           0.0079705,           0.0079705,           0.0079705
                  43,            0.033242,            0.014062,           0.0088752,             0.84774,             0.84837,             0.90694,              0.6245,            0.018471,           0.0060547,            0.003487,            0.007921,            0.007921,            0.007921
                  44,             0.03467,            0.014036,           0.0092821,             0.83498,             0.83204,             0.88322,             0.59916,             0.01849,           0.0060139,           0.0069171,           0.0078715,           0.0078715,           0.0078715
                  45,            0.030889,             0.01405,           0.0083347,             0.87359,             0.90267,             0.94017,             0.66523,            0.015897,           0.0059017,           0.0028263,            0.007822,            0.007822,            0.007822
                  46,            0.033435,             0.01414,           0.0094031,             0.89503,              0.8787,             0.94586,             0.66235,            0.016681,           0.0057255,           0.0043673,           0.0077725,           0.0077725,           0.0077725
                  47,            0.031551,            0.014421,            0.007806,             0.90336,             0.87129,             0.94193,             0.65183,            0.016894,           0.0058125,           0.0037489,            0.007723,            0.007723,            0.007723
                  48,            0.031888,            0.014058,           0.0079138,             0.85152,             0.86496,             0.92894,             0.65957,            0.016808,           0.0060187,           0.0048346,           0.0076735,           0.0076735,           0.0076735
                  49,            0.028213,            0.013999,           0.0076802,             0.92443,             0.82692,             0.93305,             0.66805,            0.016861,           0.0058066,           0.0033717,            0.007624,            0.007624,            0.007624
                  50,            0.030066,            0.013346,           0.0059217,             0.89634,             0.82818,             0.92922,              0.6496,             0.01716,           0.0059911,              0.0034,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030015,            0.013877,           0.0073099,              0.8916,             0.85844,             0.93123,             0.63396,            0.016737,           0.0058818,           0.0037667,            0.007525,            0.007525,            0.007525
                  52,            0.031869,            0.013617,            0.006678,             0.88016,             0.86382,             0.93526,             0.63819,            0.018115,           0.0058599,            0.003324,           0.0074755,           0.0074755,           0.0074755
                  53,            0.029299,            0.013518,           0.0057441,             0.88819,              0.8759,             0.94391,             0.64761,            0.016823,           0.0057046,           0.0027492,            0.007426,            0.007426,            0.007426
                  54,            0.032547,            0.013925,           0.0072016,             0.90159,              0.8751,             0.94143,             0.67542,            0.016268,            0.005845,           0.0036042,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031697,            0.013882,           0.0079428,             0.91916,             0.89186,             0.94322,             0.66071,            0.018061,           0.0059717,           0.0024938,            0.007327,            0.007327,            0.007327
                  56,            0.032304,            0.013756,           0.0084386,             0.84528,             0.86607,              0.9154,             0.62988,            0.019053,           0.0058265,           0.0034143,           0.0072775,           0.0072775,           0.0072775
                  57,            0.031508,            0.013782,           0.0064604,              0.8856,             0.86619,             0.93038,             0.68058,            0.016451,           0.0057174,           0.0032922,            0.007228,            0.007228,            0.007228
                  58,            0.030151,            0.013991,           0.0068464,             0.88248,             0.87222,             0.93639,             0.67134,            0.017154,           0.0054981,           0.0030408,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030221,            0.013539,           0.0079545,              0.8703,             0.88888,             0.94465,             0.69462,            0.015533,           0.0055936,           0.0029688,            0.007129,            0.007129,            0.007129
                  60,            0.030496,            0.013825,           0.0066491,             0.90649,             0.88414,             0.95492,             0.69622,            0.015386,           0.0057029,           0.0021982,           0.0070795,           0.0070795,           0.0070795
                  61,            0.028738,            0.013749,           0.0076401,             0.89733,             0.90748,             0.95038,              0.6964,            0.014994,           0.0056001,           0.0023047,             0.00703,             0.00703,             0.00703
                  62,            0.027654,            0.013337,           0.0061649,             0.89539,             0.88529,             0.95201,             0.68787,            0.016798,           0.0056812,           0.0023198,           0.0069805,           0.0069805,           0.0069805
                  63,              0.0294,            0.013363,           0.0072431,             0.89037,             0.89456,             0.94493,             0.68017,             0.01597,           0.0057039,           0.0029554,            0.006931,            0.006931,            0.006931
                  64,            0.029539,            0.013095,           0.0065836,             0.91948,              0.8944,             0.95823,             0.69194,            0.016256,           0.0057453,            0.002337,           0.0068815,           0.0068815,           0.0068815
                  65,            0.030378,            0.013189,           0.0059241,             0.90924,             0.83224,             0.93847,             0.67858,            0.015384,           0.0056818,           0.0040319,            0.006832,            0.006832,            0.006832
                  66,            0.030884,            0.012809,           0.0066361,             0.89781,              0.8602,             0.94099,             0.67514,            0.015802,           0.0057197,           0.0026011,           0.0067825,           0.0067825,           0.0067825
                  67,            0.030449,            0.013179,           0.0068458,             0.84609,             0.86987,             0.92976,             0.68628,             0.01736,           0.0054016,           0.0033651,            0.006733,            0.006733,            0.006733
                  68,            0.029459,             0.01326,           0.0055537,             0.84904,             0.90031,              0.9364,             0.66756,            0.016088,           0.0056847,           0.0030199,           0.0066835,           0.0066835,           0.0066835
